Feature,Sample_Size_N,Spatial_Density,Structural_Density
0177KA,1800,0.012556976097832129,0.0028627015008337964
0178KA,1779,0.012810371722084487,0.0027840111891578477
0179aKA,1729,0.01149441445494077,0.0029694963905490222
0179bKA,1769,0.01160445480100985,0.002917899777208792
0179cKA,1782,0.011549773106950722,0.0028679079773970286
0183KA,1870,0.01262592881892287,0.002731879268561357
0228KA,1992,0.012667949548066701,0.00268124229716455
0229KA,1992,0.012667949548066701,0.00421676661442354
0230aKA,1687,0.012543060076321546,0.004728785682994865
0230bKA,1871,0.01271761218942657,0.0027992694575522253
0230cKA,1737,0.01227021534559559,0.00465870230202505
0230dKA,1687,0.012543060076321546,0.004728785682994865
0230eKA,1871,0.01271761218942657,0.0027992694575522253
0230fKA,1737,0.01227021534559559,0.00465870230202505
0231aKA,1687,0.012543060076321546,0.004728785682994865
0231bKA,995,0.01079845909628626,0.003787549417105649
0232KA,1587,0.012619081105864086,0.0049114375867606525
0237aKA,1765,0.01173485447058899,0.002929859384735953
0238aKA,1780,0.012044388022560332,0.002903411208165173
0238bKA,1607,0.01117697247642436,0.004977445345356283
0238dKA,1376,0.01085200845665962,0.00557399577167019
0239aKA,1579,0.012647782885479651,0.005009507710114775
0239bKA,1386,0.011255411255411256,0.005499033657878423
0239cKA,1549,0.010755459469558588,0.005112075307400123
0240aKA,1485,0.013620481545009847,0.004826340675397279
0245aKA,1834,0.012218142963635898,0.00284140092488314
0245bKA,878,0.011753155170219453,0.006329820806591118
0247KA,1617,0.013424046486281281,0.00502014487163002
0260KA,1609,0.013554044568951389,0.004605623220133021
0276KA,1765,0.01173485447058899,0.002929859384735953
0320KA,1529,0.013511893959368441,0.0032444296823369483
0328KA,2044,0.012696209576301304,0.0026983456468701776
0331aKA,2030,0.012707368768618577,0.004280300179418142
0331bKA,2043,0.012671730181125393,0.0027148913444201383
0332KA,2036,0.012688076538764161,0.002710908801282082
0344KA,2070,0.012360518629037342,0.0026697300616648338
0356KA,1945,0.013032784283855407,0.004350608820760206
0357KA,1942,0.013062480136211864,0.004357697280909381
0365KA,1955,0.013019656707861375,0.004322957432717201
0386KA,2225,0.012165548460108318,0.0025632527685716597
0423KA,1469,0.011480682515863727,0.0032923841127163933
0439KA,1516,0.014033804435852556,0.004828583122164459
0446KA,1602,0.013042722206236583,0.004925136521259731
0454KA,1407,0.01376474667912217,0.005651482477876822
