code	Konstanz.Archive.number	URL.number	Basis	Variants	Universal	Universal.short	Universal.shorter	Domain_general	Domain_if_part	Domain_then_part	formal.formula	harmony_status	Details.source	Details.source2	citation.scores	Size..review.of.original.	Bias.in.sample..review.of.original.	Bias.2	Bias.3	Sense..review.of.original.	Implementation..review.of.original.	Implementation..review.of.original..1	BT_EDGE_BF	brmsQ_Fixed_V3_Estimate	brmsQ_Fixed_V3_low_95_CI	brmsQ_Fixed_V3_upp_95_CI	brmsQ_Fixed_V3_SIG	uncon_Fixed_V3_Estimate	uncon_Fixed_V3_low_95_CI	uncon_Fixed_V3_upp_95_CI	uncon_Fixed_V3_SIG	FAM_Fixed_V3_Estimate	FAM_Fixed_V3_low_95_CI	FAM_Fixed_V3_upp_95_CI	FAM_Fixed_V3_SIG	median_BF	o95HDI_lower	o95HDI_higher	o95HDI_SIG	brms_spa_phy_median_Estimate	brms_spa_phy_median_l_95_CI	brms_spa_phy_median_u_95_CI	brms_support	supported
0147KA	147	147	? Source Stassen 1992 (via Hurford & Kirby)	NA	"If attributive adjectives have the form of relative clauses, there is a positive correlation with SVO."	V-like Attr Adj > SVO	V-like Attr Adj > SVO	broad word order	other	word order	GB069:1 > GB131:0 & GB132:1 & GB133:0	NA	Stassen 1992 (via Hurford & Kirby)	Stassen 1992	19	200	Australia and South America are undersampled	bias against Australia/South America	"bias against the Pacific, PNG, Australia, and/or South America"	NA	"OK, we don""t track the order of S and O in our implementation"	OK	2.435461	-0.1705721	-0.74844639	0.4040837	NOT SIG	0.411522	0.1771053	0.6454645	SIG	0.06351882	-0.66070658	0.8054189	NOT SIG	1.266648	-4.510948	20.124511	NOT SIG	-0.142785931	-0.685248937	0.3880362	no	NOT SIG
0166KA	166	166	languages surveyed in Kozinsky 1981 Source Kozinsky 1981	NA	"If a verb agrees in prefix with the direct object, then at least some of the verbs agree with the subject."	pref-V Obj > V Agr Sbj	pref-V Obj > V agr Sbj	hierarchy	agreement	agreement	GB094:1 & GB093:0 > GB089:1 | GB090:1	NA	Kozinsky 1981	Kozinsky 1981	9	120	"The sample might have been baised because according to the review, Kozinsky took different languages into the sample without necessarily caring about genera, areas, of families."	NA	NA	NA	perfect	perfect	45.16006	2.9435383	1.70922149	4.3341537	SIG	3.11109	2.510136	3.866454	SIG	2.8668321	1.41697602	4.3578935	SIG	40.6503145	31.186086	49.466241	SIG	3.064226195	1.825951	4.44911825	yes	SIG
0173KA	173	173	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 72	NA	"If a language is prepositional, then if the demonstrative follows the noun, the genitive follows the noun."	Adp-N & N-Dem > N-Gen	Adp-N & N-Dem > N-Gen	narrow word order	word order	word order	GB074:1 & GB025:2 > GB065:2	consistent head-mod order Hawkins (1983)	Hawkins 1983: 72	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	52.163619	2.1073781	0.7923691	3.6526329	SIG	2.10663	1.89707	2.316778	SIG	2.05396932	0.49557343	3.5418159	SIG	62.2378235	50.774586	70.542416	SIG	2.376627161	0.998016275	3.91656825	yes	SIG
0174KA	174	174	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 72	NA	"If a language is prepositional, then if the numeral follows the noun, the genitive follows the noun."	Adp-N & N-Num > N-Gen	Adp-N & N-Num > N-Gen	narrow word order	word order	word order	GB074:1 & GB024:2 > GB065:2	consistent head-mod order Hawkins (1983)	Hawkins 1983: 72	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	10.050744	1.5192421	-0.17624993	3.562725	NOT SIG	1.459249	1.242373	1.665021	SIG	1.50169125	-0.39508083	3.5014274	NOT SIG	13.1651745	0.796868	31.782282	NOT SIG	1.634016173	-0.148301525	3.724196375	no	NOT SIG
0175KA	175	175	sample of 350 languages in Hawkins 1983 Source Hawkins 1979: 628; Hawkins 1983: 74	NA	"If a language has Prep word order, then if the genitive follows the noun, the relative clause follows the noun."	Adp-N & N-Gen > N-Rel	Adp-N & N-Gen > N-Rel	narrow word order	word order	word order	GB074:1 & GB065:2 > GB327:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 74	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	19.923862	2.83124506	0.97876494	4.9611058	SIG	3.21492	2.559728	3.960993	SIG	1.87933667	0.01349755	3.6259608	SIG	25.1235175	18.692469	37.741787	SIG	2.99930956	1.210705875	5.092815	yes	SIG
0176KA	176	176	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 83	NA	"If the genitive follows the noun, then the relative clause follows the noun."	N-Gen > N-Rel	N-Gen > N-Rel	narrow word order	word order	word order	GB065:2 > GB327:1	BDT Dryer 1992	Hawkins 1983: 83-84	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	21.783574	2.2861263	0.92086445	3.8661516	SIG	2.830722	2.311733	3.419008	SIG	1.4273383	-0.10280309	2.8305632	NOT SIG	27.243153	18.067034	43.810121	SIG	2.333642164	0.991221	3.88480425	yes	SIG
0177KA	177	177	sample of 350 languages in Hawkins 1983 Source Hawkins 1983 80	NA	"If a language has Postp word order, then if the demonstrative precedes the noun, the genitive precedes the noun."	N-Adp & Dem-N > Gen-N	N-Adp & Dem-N > Gen-N	narrow word order	word order	word order	GB075:1 & GB025:1 > GB065:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 80	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	68.020731	2.5177587	1.01295182	3.896722	SIG	2.519711	2.25799	2.806671	SIG	2.29515476	0.81548595	3.5719339	SIG	72.2920675	61.703578	83.770459	SIG	2.574179604	0.79085425	4.135936	yes	SIG
0178KA	178	178	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 81	NA	"If a language has Postp word order, then if the numeral precedes the noun, the genitive precedes the noun."	N-Adp & Num-N > Gen-N	N-Adp & Num-N > Gen-N	narrow word order	word order	word order	GB075:1 & GB024:1 > GB065:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 81	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	8.697341	1.25153196	0.36519567	2.188229	SIG	1.735862	1.461708	2.028746	SIG	1.33735956	0.08804825	2.4650635	SIG	13.4287405	5.697377	30.977287	NOT SIG	1.33489422	0.42457935	2.273081125	yes	NOT SIG
0179aKA	179	179	European languages Source Linfer 1992	a	"There is a hierarchy: Number > Gender > Case, such that if some target agrees in one category on the hierarchy then it will also agree in all categories higher on the hierarchy."	gender Adj > number Adj	gender Adj > number Adj	hierarchy	agreement	agreement	GB170:1 > GB184:1	NA	"Bakker, Dik. ""LINFER: inferring implications from the WALS database"" Language Typology and Universals, vol. 61, no. 3, 2008, pp. 186-198. https://protect-au.mimecast.com/s/LGGbCxng07Cjw4J4iwLgau?domain=doi.org"	LINFER	1	30	European languages only	exclusively samples one family or area	exclusively samples one family or area	probably not intended as a universal	"OK, Grambank does not have information on agreement on all targets, so we can only test a subset of these claims"	OK	133.426096	3.76840504	2.81977774	4.8549167	SIG	3.427175	3.092085	3.767683	SIG	2.76612962	0.93755195	4.4920047	SIG	141.918517	130.146659	153.329584	SIG	3.825805763	2.79283525	4.998137125	yes	SIG
0179bKA	179	179	European languages Source Linfer 1992	c	"There is a hierarchy: Number > Gender > Case, such that if some target agrees in one category on the hierarchy then it will also agree in all categories higher on the hierarchy."	gender Dem > number Dem	gender Dem > number Dem	hierarchy	agreement	agreement	GB171:1 > GB185:1	NA	"Bakker, Dik. ""LINFER: inferring implications from the WALS database"" Language Typology and Universals, vol. 61, no. 3, 2008, pp. 186-198. https://protect-au.mimecast.com/s/LGGbCxng07Cjw4J4iwLgau?domain=doi.org"	LINFER	1	30	European languages only	exclusively samples one family or area	exclusively samples one family or area	probably not intended as a universal	"OK, Grambank does not have information on agreement on all targets, so we can only test a subset of these claims"	OK	113.261355	4.049420037	2.93073794	5.4309396	SIG	2.806942	2.519837	3.109137	SIG	2.6227418	0.57382352	4.4740713	SIG	125.131954	110.160485	147.141466	SIG	4.077045273	2.958106875	5.4445785	yes	SIG
0179cKA	179	179	European languages Source Linfer 1992	b	"There is a hierarchy: Number > Gender > Case, such that if some target agrees in one category on the hierarchy then it will also agree in all categories higher on the hierarchy."	gender Art > number Art	gender Art > number Art	hierarchy	agreement	agreement	GB172:1 > GB186:1	NA	"Bakker, Dik. ""LINFER: inferring implications from the WALS database"" Language Typology and Universals, vol. 61, no. 3, 2008, pp. 186-198. https://protect-au.mimecast.com/s/LGGbCxng07Cjw4J4iwLgau?domain=doi.org"	LINFER	1	30	European languages only	exclusively samples one family or area	exclusively samples one family or area	probably not intended as a universal	"OK, Grambank does not have information on agreement on all targets, so we can only test a subset of these claims"	OK	160.855583	5.439434	3.4832843	7.641695	SIG	3.723181	3.306907	4.161833	SIG	5.06496215	2.78053611	7.3112275	SIG	170.6161875	162.091827	179.928247	SIG	5.510379967	3.5373135	7.687137875	yes	SIG
0183KA	183	183	"unspecified Source Moravcsik 1993, via Hurford & Kirby"	NA	"If there is case-inflection on nouns, there is also case-inflection on some pronouns."	case Nouns > case PronN	case Nouns > case PronN	hierarchy	case	case	GB070:1 > GB071:1 | GB073:1	NA	"Moravcsik 1993, via Hurford & Kirby"	unknown source3	16	NA	NA	NA	NA	NA	perfect	perfect	181.413319	3.828662	2.90993352	4.8627317	SIG	3.165717	2.834746	3.509035	SIG	3.55118482	2.43615874	4.7213896	SIG	185.301006	177.060967	205.35551	SIG	3.959225208	2.93547275	5.097336375	yes	SIG
0228KA	228	228	"Arabic, Chaldean, Hebrew (all Semitic, Afro-Asiatic), Turkish (S. Turkic, Altaic), Ancient Greek, Latin, Italian, French, Spanish (all Indo-European), Chinese (Sino-Tibetan), Vietnamese (Mon-Khmer) Source Campanella 1638, as interpreted in Plank 1999: 8"	NA	"If nouns inflect for case, then verbs inflect for some inflectional category."	nominal case > verbal inflection	nom case > verbal infl	other	case	inflection	GB070:1|GB072:1 > GB111|GB079|GB090|GB092|GB094|GB080|GB089|GB091|GB093|GB119|GB120|GB121|GB298|GB082|GB083|GB084|GB312|GB086:1	NA	"Campanella 1638, as interpreted in Plank 1999: 8"	Campanella 1638	14	1	basically samples only Latin	NA	NA	NA	"OK, Grambank might not capture all categories that verbs can inflect for"	OK	6.64658	2.2361016	0.470276	4.109856	SIG	2.846266	1.952	3.94314	SIG	2.9915253	1.04177788	5.27773821	SIG	8.088335	-4.117218	14.297292	NOT SIG	2.280971291	0.408522563	4.12463575	yes	NOT SIG
0229KA	229	229	"Arabic, Chaldean, Hebrew (all Semitic, Afro-Asiatic), Turkish (S. Turkic, Altaic), Ancient Greek, Latin, Italian, French, Spanish (all Indo-European), Chinese (Sino-Tibetan), Vietnamese (Mon-Khmer) Source Campanella 1638, as interpreted in Plank 1999: 8"	NA	"If nominals inflect for number, they also inflect for case."	nominal number > nominal case	nom number > nom case	hierarchy	number	case	GB041|GB042|GB043|GB044|GB165|GB166:1 > GB070|GB072:1	NA	"Campanella 1638, as interpreted in Plank 1999: 8"	Campanella 1638	14	1	basically samples only Latin	NA	NA	NA	perfect	perfect	15.578866	0.8843263	-0.03414758	1.8050832	NOT SIG	1.12547	0.9399371	1.3113593	SIG	0.809898042	-0.07622581	1.6979122	NOT SIG	18.896447	9.857829	29.425188	NOT SIG	0.914108539	0.031228324	1.80160475	yes	NOT SIG
0230aKA	230	230	"French, Latin, Italian, Spanish (all Italic), Russian, Polish, Church Slavonic, Serbo-Croatian (all Slavic), Ancient Greek (Greek, all IE), Hebrew (Semitic, Afro-Asiatic) Source Girard 1747, as interpreted in Plank 1999: 13"	a	"IF constituent order is rigid, THEN cases are absent, and vice versa; ; If cases are absent, THEN the use of prepositions is extensive, and vice versa;; IF order is rigid, THEN the use of prepositions is extensive, and vice versa. : IF constituent order is flexible, THEN cases are present, and vice versa; ; IF cases are present, THEN the use of prepositions is sparse, and vice versa; ; IF order is flexible, THEN the use of prepositions is sparse, and vice versa."	rigid order > no case	rigid order > no case	broad word order	rigid order	case	GB136:1 > GB070:0 & GB072:0	NA	"Girard 1747, as interpreted in Plank 1999: 13"	Girard 1747	138	10	European and Semitic languages only	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	4.237891	0.12651683	-0.67841	0.6675446	NOT SIG	0.6186682	0.4205467	0.8169091	SIG	0.5426018	-0.094894844	1.1842189	NOT SIG	13.5923525	2.135216	22.718255	NOT SIG	0.155282633	-0.6363196	0.6926102	no	NOT SIG
0230bKA	230	230	"French, Latin, Italian, Spanish (all Italic), Russian, Polish, Church Slavonic, Serbo-Croatian (all Slavic), Ancient Greek (Greek, all IE), Hebrew (Semitic, Afro-Asiatic) Source Girard 1747, as interpreted in Plank 1999: 13"	b	"IF constituent order is rigid, THEN cases are absent, and vice versa; ; If cases are absent, THEN the use of prepositions is extensive, and vice versa;; IF order is rigid, THEN the use of prepositions is extensive, and vice versa. : IF constituent order is flexible, THEN cases are present, and vice versa; ; IF cases are present, THEN the use of prepositions is sparse, and vice versa; ; IF order is flexible, THEN the use of prepositions is sparse, and vice versa."	no case > Adp-N	no case > Adp-N	broad word order	case	word order	GB070:0 & GB072:0 > GB074:1	NA	"Girard 1747, as interpreted in Plank 1999: 13"	Girard 1747	138	10	European and Semitic languages only	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	33.200494	1.3482069	0.48892189	2.293341	SIG	1.906698	1.703798	2.108306	SIG	1.4866356	0.52264217	2.4895075	SIG	41.049593	30.805969	52.277954	SIG	1.382237684	0.455818413	2.342395125	yes	SIG
0230cKA	230	230	"French, Latin, Italian, Spanish (all Italic), Russian, Polish, Church Slavonic, Serbo-Croatian (all Slavic), Ancient Greek (Greek, all IE), Hebrew (Semitic, Afro-Asiatic) Source Girard 1747, as interpreted in Plank 1999: 13"	c	"IF constituent order is rigid, THEN cases are absent, and vice versa; ; If cases are absent, THEN the use of prepositions is extensive, and vice versa;; IF order is rigid, THEN the use of prepositions is extensive, and vice versa. : IF constituent order is flexible, THEN cases are present, and vice versa; ; IF cases are present, THEN the use of prepositions is sparse, and vice versa; ; IF order is flexible, THEN the use of prepositions is sparse, and vice versa."	rigid order > Adp-N	rigid order > Adp-N	broad word order	rigid order	word order	GB136:1 > GB074:1	NA	"Girard 1747, as interpreted in Plank 1999: 13"	Girard 1747	138	10	European and Semitic languages only	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	0.033912	0.02010876	-0.80012817	0.7053335	NOT SIG	0.5227134	0.33088236	0.7125737	SIG	0.09510789	-0.55202679	0.6950852	NOT SIG	8.11669	-0.35889	15.78492	NOT SIG	-0.022581608	-0.8949959	0.638547938	no	NOT SIG
0230dKA	230	230	"French, Latin, Italian, Spanish (all Italic), Russian, Polish, Church Slavonic, Serbo-Croatian (all Slavic), Ancient Greek (Greek, all IE), Hebrew (Semitic, Afro-Asiatic) Source Girard 1747, as interpreted in Plank 1999: 13"	d	"IF constituent order is rigid, THEN cases are absent, and vice versa; ; If cases are absent, THEN the use of prepositions is extensive, and vice versa;; IF order is rigid, THEN the use of prepositions is extensive, and vice versa. : IF constituent order is flexible, THEN cases are present, and vice versa; ; IF cases are present, THEN the use of prepositions is sparse, and vice versa; ; IF order is flexible, THEN the use of prepositions is sparse, and vice versa."	free order > case	free order > case	broad word order	free order	case	GB136:0 > GB070:1 | GB072:1	NA	"Girard 1747, as interpreted in Plank 1999: 13"	Girard 1747	138	10	European and Semitic languages only	exclusively samples one family or area	exclusively samples one family or area	Sinnem_ki (2008) is a follow-up	perfect	perfect	6.14512	0.19452864	-0.46238055	0.7001292	NOT SIG	0.6172623	0.4171596	0.8141296	SIG	0.5836036	-0.10081238	1.3493326	NOT SIG	13.2926175	3.170745	23.136225	NOT SIG	0.23084201	-0.396274313	0.751958688	no	NOT SIG
0230eKA	230	230	"French, Latin, Italian, Spanish (all Italic), Russian, Polish, Church Slavonic, Serbo-Croatian (all Slavic), Ancient Greek (Greek, all IE), Hebrew (Semitic, Afro-Asiatic) Source Girard 1747, as interpreted in Plank 1999: 13"	e	"IF constituent order is rigid, THEN cases are absent, and vice versa; ; If cases are absent, THEN the use of prepositions is extensive, and vice versa;; IF order is rigid, THEN the use of prepositions is extensive, and vice versa. : IF constituent order is flexible, THEN cases are present, and vice versa; ; IF cases are present, THEN the use of prepositions is sparse, and vice versa; ; IF order is flexible, THEN the use of prepositions is sparse, and vice versa."	case > no Adp-N	case > no Adp-N	broad word order	case	word order	GB070:1 & GB072:1 > GB074:0	NA	"Girard 1747, as interpreted in Plank 1999: 13"	Girard 1747	138	10	European and Semitic languages only	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	45.996611	1.48702693	0.61869821	2.3877605	SIG	2.257792	2.024937	2.495311	SIG	1.47720826	0.58085343	2.3733051	SIG	26.311978	17.601807	44.421446	SIG	1.641841902	0.790799525	2.5184505	yes	SIG
0230fKA	230	230	"French, Latin, Italian, Spanish (all Italic), Russian, Polish, Church Slavonic, Serbo-Croatian (all Slavic), Ancient Greek (Greek, all IE), Hebrew (Semitic, Afro-Asiatic) Source Girard 1747, as interpreted in Plank 1999: 13"	f	"IF constituent order is rigid, THEN cases are absent, and vice versa; ; If cases are absent, THEN the use of prepositions is extensive, and vice versa;; IF order is rigid, THEN the use of prepositions is extensive, and vice versa. : IF constituent order is flexible, THEN cases are present, and vice versa; ; IF cases are present, THEN the use of prepositions is sparse, and vice versa; ; IF order is flexible, THEN the use of prepositions is sparse, and vice versa."	free order > no Adp-N	free order > no Adp-N	broad word order	free order	word order	GB136:0 > GB074:0	NA	"Girard 1747, as interpreted in Plank 1999: 13"	Girard 1747	138	10	European and Semitic languages only	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	4.012362	0.08924402	-0.60054393	0.7339989	NOT SIG	0.5209606	0.3266369	0.7172506	SIG	0.1148881	-0.54334201	0.728627	NOT SIG	7.995347	0.144038	19.24932	NOT SIG	0.044628246	-0.667603987	0.681433375	no	NOT SIG
0231aKA	231	231	"French, Latin, Italian, Spanish (all Italic), Russian, Polish, Church Slavonic, Serbo-Croatian (all Slavic), Ancient Greek (Greek), Hebrew (Semitic, Afro-Asiatic) Source Girard 1747 as interpreted by Plank (1999)"	a	"If constituent order is rigid (or if there is no case inflection), then the gradation of adjectives is expressed by function words; if constituent order is flexible (or if there is case inflection), then the gradation of adjectives is expressed inflectionally."	rigid order | no case > gradation adj  function word	rigid|no case > grad adj word	broad word order	other	other	(GB070: 0 & GB072: 0 )| GB136: 1 >  GB276|GB273|GB265|GB166: 1	NA	Girard 1747	Girard 1747	138	10	European and Semitic languages only	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	-3.514301	0.01875547	-0.62842939	0.5350662	NOT SIG	0.2153179	-0.005199659	0.4503264	NOT SIG	0.29807185	-0.310368691	0.9402724	NOT SIG	-2.855751	-7.87809	6.12223	NOT SIG	-0.029277573	-0.609787775	0.482400725	no	NOT SIG
0231bKA	231	231	"French, Latin, Italian, Spanish (all Italic), Russian, Polish, Church Slavonic, Serbo-Croatian (all Slavic), Ancient Greek (Greek), Hebrew (Semitic, Afro-Asiatic) Source Girard 1747"	b	"If constituent order is rigid (or if there is no case inflection), then the gradation of adjectives is expressed by function words; if constituent order is flexible (or if there is case inflection), then the gradation of adjectives is expressed inflectionally."	free order | case > gradation adj inflect	free|case > gradation adj infl	broad word order	other	other	(GB070: 1 | GB072: 1) | GB136: 0 >  GB275: 1	NA	Girard 1747	Girard 1747	138	10	European and Semitic languages only	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	-1.872628	0.97353757	0.08530082	1.9914209	SIG	0.9635289	0.5774343	1.3684978	SIG	1.1753009	0.07036855	2.3450764	SIG	-3.470335	-10.397544	2.462917	NOT SIG	0.951053646	0.037203405	1.970188375	yes	NOT SIG
0232KA	232	232	"French, Latin, Italian, Spanish (all Italic), Russian, Polish, Church Slavonic, Serbo-Croatian (all Slavic), Ancient Greek (Greek), Hebrew (Semitic, Afro-Asiatic) Source Girard 1747 as interpreted by Plank (1999)"	NA	"If constituent order is rigid and there is no case inflection, then there is a definite article, but not vice versa."	rigid order & no case > def Art	rigid & no case > def Art	broad word order	other	other	GB136: 1 & GB070: 0 & GB072: 0 > GB020: 0	NA	"Girard 1747, as interpreted in Plank 1999: 15"	Girard 1747	138	10	European and Semitic languages only	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	1.876454	0.2263937	-0.44152544	0.9011186	NOT SIG	0.5657684	0.3555114	0.7806864	SIG	0.5029273	-0.39159996	1.4464096	NOT SIG	-1.5204225	-8.013713	13.548715	NOT SIG	0.255534029	-0.45173865	0.974867412	no	NOT SIG
0237aKA	237	237	"Ancient and Modern Greek (both Greek), French, Italian, Latin (all Italic), English, ""Gothic"" (both Germanic), Classical Armenian (Armenian), Hebrew (Semitic, Afro-Asiatic) Source Smith 1761 [1983], as interpreted in Plank 1992: 44"	a	"If adjectives inflect for any category, nouns inflect for this category as well."	number Adj > number noun	number adj > number noun	hierarchy	number	number	GB184: 1 > GB041 | GB042 | GB043 | GB044 | GB165 | GB166: 1	NA	"Smith 1761 [1983], as interpreted in Plank 1992: 44"	Smith 1761 [1983]	191	9	overwhelmingly IE	exclusively samples one family or area	exclusively samples one family or area	NA	"OK, we can only test for number, not for other categories adjectives might inflect for"	OK	55.268204	1.7771895	1.12342287	2.5238431	SIG	1.822228	1.593873	2.058594	SIG	2.0259759	1.26618375	2.8614469	SIG	70.2364435	61.699074	82.439855	SIG	1.722944592	1.04006275	2.464002875	yes	SIG
0238aKA	238	238	"French, Italian, Spanish, Portuguese, Latin, Breton, Gaelic, English, German, Swedish, Ancient Greek, Polish (all Indo-European), Arabic, Aramaic, Hebrew (all Semitic, Afro-Asiatic), Saami (Uralic), Chinese (Sino-Tibetan), Quechua (Andean) Source Beauz_e 1767"	a	"If constituent order is rigid, all determined constituents precede their respective determining constituents; in particular, subjects precede their predicates, verbs their complements (objects, prepositional phrases), prepositions their complements (noun phrases), head nouns their attributive adjectives, relative clauses, and complements (prepositional phrases)."	rigid order > SV	rigid order > SV	broad word order	word order	word order	GB136: 1 > GB130:1	NA	Beauz_e 1767	Beauz_e 1767	548	15	overwhelmingly IE	bias towards Eurasia	bias towards Eurasia	NA	"OK, we can only test a limited subset of the patterns described in this universal"	OK	27.440182	1.3547103	0.77482517	2.0255865	SIG	0.8593604	0.6301226	1.0862925	SIG	1.45813894	0.71355093	2.20591477	SIG	24.932003	18.234603	35.740737	SIG	1.375824976	0.79370895	2.017772625	yes	SIG
0238bKA	238	238	"French, Italian, Spanish, Portuguese, Latin, Breton, Gaelic, English, German, Swedish, Ancient Greek, Polish (all Indo-European), Arabic, Aramaic, Hebrew (all Semitic, Afro-Asiatic), Saami (Uralic), Chinese (Sino-Tibetan), Quechua (Andean) Source Beauz_e 1767"	c	"If constituent order is rigid, all determined constituents precede their respective determining constituents; in particular, subjects precede their predicates, verbs their complements (objects, prepositional phrases), prepositions their complements (noun phrases), head nouns their attributive adjectives, relative clauses, and complements (prepositional phrases)"	rigid order > N-Adj	rigid order > N-Adj	broad word order	word order	word order	GB136: 1 > GB193:2	NA	Beauz_e 1767	Beauz_e 1767	548	15	overwhelmingly IE	bias towards Eurasia	bias towards Eurasia	NA	"OK, we can only test a limited subset of the patterns described in this universal"	OK	5.614239	0.4416559	-0.20753765	1.1369762	NOT SIG	0.6073477	0.40913564	0.8145598	SIG	0.3274814	-0.2337205	0.9068362	NOT SIG	12.773957	4.743471	25.539543	NOT SIG	0.456350712	-0.199914438	1.16046025	no	NOT SIG
0238dKA	238	238	"French, Italian, Spanish, Portuguese, Latin, Breton, Gaelic, English, German, Swedish, Ancient Greek, Polish (all Indo-European), Arabic, Aramaic, Hebrew (all Semitic, Afro-Asiatic), Saami (Uralic), Chinese (Sino-Tibetan), Quechua (Andean) Source Beauz_e 1767"	d	"If constituent order is rigid, all determined constituents precede their respective determining constituents; in particular, subjects precede their predicates, verbs their complements (objects, prepositional phrases), prepositions their complements (noun phrases), head nouns their attributive adjectives, relative clauses, and complements (prepositional phrases)."	rigid order > N-Rel	rigid order > N-Rel	broad word order	word order	word order	GB136: 1 > GB327: 1	NA	Beauz_e 1767	Beauz_e 1767	548	18	Exclusively Eurasian + Quechua	exclusively samples one family or area	exclusively samples one family or area	NA	"OK, we can only test a limited subset of the patterns described in this universal"	OK	2.336573	-0.14557241	-0.738090199	0.4593304	NOT SIG	0.4188531	0.14645223	0.6974509	SIG	-0.03884158	-0.81693859	0.8109564	NOT SIG	3.342623	-5.512081	10.057661	NOT SIG	-0.16465708	-0.778525725	0.419421425	no	NOT SIG
0239aKA	239	239	"French, Italian, Spanish, Portuguese, Latin, Breton, Gaelic, English, German, Swedish, Ancient Greek, Polish (all Indo-European), Arabic, Aramaic, Hebrew (all Semitic, Afro-Asiatic), Saami (Uralic), Chinese (Sino-Tibetan), Quechua (Andean) Source Beauz_e 1767"	a	"If constituent order is free, all potentially declinable kinds of nominal words in relationships of determination – nouns, pronouns, adjectives (including articles) – are declined at least for case, the cardinal relational category, but presumably for number and gender as well."	free order >  case noun|pronoun	free order >  case noun|Pron	broad word order	free order	case	GB136:0 > GB070|GB072: 1 & GB071|GB073: 1	NA	Beauz_e 1767	Beauz_e 1767	548	18	Exclusively Eurasian + Quechua	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	7.765192	0.14161978	-0.48152238	0.6908319	NOT SIG	0.6090715	0.4062283	0.8084425	SIG	0.40581695	-0.38835842	1.2087449	NOT SIG	11.3603135	3.426393	21.958032	NOT SIG	0.154500613	-0.50238205	0.695078425	no	NOT SIG
0239bKA	239	239	"French, Italian, Spanish, Portuguese, Latin, Breton, Gaelic, English, German, Swedish, Ancient Greek, Polish (all Indo-European), Arabic, Aramaic, Hebrew (all Semitic, Afro-Asiatic), Saami (Uralic), Chinese (Sino-Tibetan), Quechua (Andean) Source Beauz_e 1767"	b	"If constituent order is free, all potentially declinable kinds of nominal words in relationships of determination – nouns, pronouns, adjectives (including articles) – are declined at least for case, the cardinal relational category, but presumably for number and gender as well."	free order > number noun adj art	free > num noun adj art	broad word order	free order	number	GB136:0 > GB186: 1 & GB184: 1 & (GB042|GB043|GB044|GB165|GB166:1)	NA	Beauz_e 1767	Beauz_e 1767	548	18	Exclusively Eurasian + Quechua	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	-2.57714	-0.22845581	-1.19917806	0.7071988	NOT SIG	-0.3084266	-0.7608636	0.1367634	NOT SIG	-0.266452511	-1.29528918	0.6964089	NOT SIG	-3.4242915	-7.536225	1.693292	NOT SIG	-0.163791957	-1.172147625	0.795819625	no	NOT SIG
